tile,baseline,ours,delta,changed_pct,fixed,broke,newly_discarded,all_discarded
agricultural00,31.86,31.83,-0.03,1.56,4,204,627,0
agricultural01,24.81,0.0,-24.81,99.86,0,65037,65040,0
agricultural02,30.87,30.69,-0.19,0.6,0,366,178,0
agricultural03,49.26,49.21,-0.05,0.1,0,65,50,0
agricultural04,16.9,21.91,5.01,15.87,9848,0,0,0
agricultural05,0.0,0.0,0.0,0.01,0,0,0,0
agricultural06,0.0,0.0,0.0,0.02,0,0,0,0
agricultural07,33.25,33.02,-0.23,0.69,0,450,450,0
agricultural08,33.27,0.0,-33.27,99.84,0,65406,65428,0
agricultural09,100.0,99.77,-0.23,0.23,0,148,148,0
agricultural10,0.0,0.0,0.0,0.0,0,0,0,1
agricultural11,0.0,0.0,0.0,0.12,0,0,0,0
agricultural12,32.08,16.06,-16.01,51.79,0,31485,33939,0
agricultural13,0.0,0.0,0.0,80.39,0,0,0,0
agricultural14,0.93,0.0,-0.93,99.8,0,1820,65389,0
agricultural15,0.0,0.0,0.0,0.02,0,0,0,0
agricultural16,0.0,0.0,0.0,0.0,0,0,0,1
agricultural17,50.0,49.99,-0.01,0.02,0,16,0,0
agricultural18,0.0,0.0,0.0,1.15,0,0,0,0
agricultural19,0.0,0.0,0.0,100.0,0,0,0,0
agricultural20,26.65,0.58,-26.07,98.79,0,34171,64746,0
agricultural21,0.11,19.04,18.93,92.6,37213,0,0,0
agricultural22,0.0,19.23,19.23,94.94,37801,0,0,0
agricultural23,0.0,18.11,18.11,88.2,35601,0,0,0
agricultural24,0.0,0.0,0.0,100.0,0,0,0,0
agricultural25,30.81,30.68,-0.13,0.81,0,256,282,0
agricultural26,0.0,0.0,0.0,1.28,0,0,0,0
agricultural27,2.14,0.0,-2.14,51.2,0,5597,348,0
agricultural28,30.21,0.0,-30.21,99.99,0,59405,59,0
agricultural29,0.78,1.32,0.54,90.1,3937,2154,30022,0
agricultural30,0.0,0.0,0.0,0.0,0,0,0,1
agricultural31,0.0,0.0,0.0,0.0,0,0,0,1
agricultural32,100.0,100.0,-0.0,0.0,0,2,2,0
agricultural33,100.0,0.0,-100.0,100.0,0,65536,65536,1
agricultural34,100.0,100.0,-0.0,0.0,0,3,3,0
agricultural35,49.97,49.99,0.02,0.06,35,5,7,0
agricultural36,50.0,2.37,-47.63,95.27,0,62434,57,0
agricultural37,100.0,100.0,-0.0,0.0,0,2,2,0
agricultural38,100.0,100.0,-0.0,0.0,0,2,2,0
agricultural39,99.85,0.0,-99.85,99.85,0,65437,65437,1
agricultural40,0.0,0.0,0.0,0.26,0,0,0,0
agricultural41,100.0,99.96,-0.04,0.04,0,27,27,0
agricultural42,100.0,99.99,-0.01,0.01,0,6,6,0
agricultural43,99.98,97.58,-2.4,2.4,0,1575,1575,0
agricultural44,100.0,100.0,-0.0,0.0,0,3,3,0
agricultural45,100.0,100.0,0.0,0.0,0,0,0,0
agricultural46,0.0,0.0,0.0,0.0,0,0,0,1
agricultural47,100.0,100.0,-0.0,0.0,0,2,2,0
agricultural48,33.33,33.28,-0.05,0.15,0,95,85,0
agricultural49,100.0,100.0,-0.0,0.0,0,1,1,0
agricultural50,0.02,0.0,-0.02,99.98,0,44,65501,0
agricultural51,100.0,100.0,-0.0,0.0,0,1,1,0
agricultural52,100.0,0.0,-100.0,100.0,0,65535,65535,1
agricultural53,100.0,100.0,-0.0,0.0,0,1,1,0
agricultural54,100.0,99.48,-0.52,0.52,0,341,341,0
agricultural55,100.0,86.06,-13.94,13.94,0,9138,9138,0
agricultural56,100.0,99.99,-0.01,0.01,0,6,6,0
agricultural57,0.0,0.0,0.0,0.0,0,0,0,1
agricultural58,100.0,100.0,0.0,0.0,0,0,0,0
agricultural59,50.0,50.0,-0.0,0.01,0,4,2,0
agricultural60,49.27,0.0,-49.27,99.77,0,64584,65388,1
agricultural61,0.0,0.0,0.0,99.77,0,0,2535,0
agricultural62,100.0,100.0,0.0,0.0,0,0,0,0
agricultural63,99.31,0.0,-99.31,99.31,0,65085,65085,1
agricultural64,0.0,0.0,0.0,0.76,0,0,0,0
agricultural65,0.15,0.0,-0.15,99.78,0,192,65390,1
agricultural66,100.0,100.0,0.0,0.0,0,0,0,0
agricultural67,0.0,0.0,0.0,16.58,0,0,0,0
agricultural68,0.0,0.0,0.0,0.35,0,0,0,0
agricultural69,0.0,0.0,0.0,0.01,0,0,0,0
agricultural70,0.0,0.0,0.0,3.58,0,0,0,0
agricultural71,0.0,0.0,0.0,0.12,0,0,0,0
agricultural72,0.0,0.0,0.0,100.0,0,0,0,0
agricultural73,0.0,0.0,0.0,0.0,0,0,0,0
agricultural74,0.0,0.0,0.0,0.0,0,0,0,0
agricultural75,0.0,0.0,-0.0,0.01,0,6,1,0
agricultural76,0.0,0.0,0.0,0.0,0,0,0,1
agricultural77,0.0,0.0,0.0,2.7,0,0,1768,1
agricultural78,0.0,0.0,0.0,99.91,0,0,65480,1
agricultural79,0.0,0.0,0.0,99.4,0,0,65144,1
agricultural80,0.0,0.0,0.0,1.62,0,0,0,0
agricultural81,0.0,0.0,0.0,0.32,0,0,0,0
agricultural82,0.0,0.0,0.0,100.0,0,0,0,0
agricultural83,0.0,0.0,0.0,100.0,0,0,0,0
agricultural84,0.0,0.0,0.0,0.14,0,0,0,0
agricultural85,0.0,0.0,0.0,0.25,0,0,0,0
agricultural86,100.0,99.99,-0.01,0.01,0,4,4,0
agricultural87,50.0,45.62,-4.38,8.77,0,5747,6,0
agricultural88,33.31,33.14,-0.17,0.55,0,339,337,0
agricultural89,0.0,0.0,0.0,1.47,0,0,0,0
agricultural90,27.32,0.0,-27.32,85.01,0,53719,55474,0
agricultural91,0.0,0.0,0.0,66.46,0,0,43465,0
agricultural92,0.0,0.0,0.0,100.0,0,0,0,0
agricultural93,0.0,0.0,0.0,0.0,0,0,0,0
agricultural94,0.0,0.0,0.0,0.12,0,0,0,0
agricultural95,49.57,49.45,-0.12,0.24,0,157,146,0
agricultural96,0.0,0.0,0.0,0.02,0,0,0,0
agricultural97,0.0,0.0,0.0,100.0,0,0,0,0
agricultural98,0.0,0.0,0.0,99.93,0,0,65493,1
agricultural99,49.98,0.0,-49.98,99.96,0,65512,65513,1
airplane00,46.99,48.68,1.69,4.02,1307,158,1051,0
airplane01,27.49,38.06,10.56,31.45,165,327,2788,0
airplane02,27.6,38.05,10.45,31.45,163,346,2788,0
airplane03,37.57,23.13,-14.44,14.43,331,4204,8823,0
airplane04,42.82,43.94,1.13,5.56,559,608,2645,0
airplane05,56.54,30.9,-25.65,12.68,573,4027,7551,0
airplane06,54.18,37.89,-16.29,15.73,1531,5375,5637,0
airplane07,39.93,30.54,-9.4,13.72,696,5267,6756,0
airplane08,47.99,41.52,-6.47,8.33,1620,3166,811,0
airplane09,26.14,18.33,-7.82,11.98,1522,2933,6175,0
airplane10,36.56,38.13,1.56,16.45,3710,4893,4709,0
airplane11,33.06,43.39,10.33,16.73,4033,249,2962,0
airplane12,31.86,17.96,-13.9,14.52,1325,2987,6618,0
