image,valid_px,real_px,discarded_px,discard_pct_of_real
2522,1048576,847474,25027,2.95
2523,1048576,386321,182265,47.18
2524,1048576,898517,167700,18.66
2525,1048576,81386,7058,8.67
2526,1048576,211510,197956,93.59
2527,1048576,192982,7026,3.64
2528,1048576,1022973,1022973,100.0
2529,1048576,184714,6,0.0
2530,1048576,690354,181,0.03
2531,1048576,183629,26,0.01
2532,1048576,391536,43,0.01
2533,1048576,898681,1431,0.16
2534,1048576,1012447,1462,0.14
2535,932490,860584,0,0.0
2536,1048576,380255,0,0.0
2537,1048576,900790,0,0.0
2538,1048576,157068,157068,100.0
2539,1048576,373187,150,0.04
2540,1048576,116149,28,0.02
2541,1048576,1036855,1036855,100.0
2542,1048576,231434,91202,39.41
2543,1048576,833909,2890,0.35
2544,1048576,988364,1246,0.13
2545,1048576,682237,661979,97.03
2546,844317,789076,0,0.0
2547,1048576,81321,2472,3.04
2548,1047970,654382,2897,0.44
2549,1048576,527276,499736,94.78
2550,1048576,927849,1349,0.15
2551,1048576,753357,739436,98.15
2552,1048576,404131,357812,88.54
2553,1048576,884371,685144,77.47
2554,1048576,936022,936022,100.0
2555,1048576,428707,421462,98.31
2556,1048576,350404,37,0.01
2557,1048576,157372,492,0.31
2558,1048576,1013579,0,0.0
2559,1048576,470742,23,0.0
2560,1048576,584976,3933,0.67
2561,1048576,1004019,0,0.0
2562,1048576,63151,57622,91.24
2563,814925,715886,10,0.0
2564,1048576,734475,123,0.02
2565,1048576,480330,3692,0.77
2566,1048576,738805,738805,100.0
2567,844124,807183,1886,0.23
2568,1048576,1035449,0,0.0
2569,1048576,631532,20307,3.22
2570,1048576,695052,37550,5.4
2571,667786,451760,153457,33.97
2572,1048576,502075,901,0.18
2573,664468,531882,53029,9.97
2574,1048576,524723,3328,0.63
2575,1048576,964333,0,0.0
2576,1048576,838263,6089,0.73
2577,723219,564864,2790,0.49
2578,1048576,90591,90591,100.0
2579,1048576,523437,9113,1.74
2580,1048576,344597,1,0.0
2581,1048576,397490,0,0.0
2582,1020642,852033,0,0.0
2583,1048576,261635,793,0.3
2584,1048576,682723,609505,89.28
2585,1048576,988651,8605,0.87
2586,1048576,895370,775,0.09
2587,1048576,751131,670150,89.22
2588,1048576,355566,5145,1.45
2589,1048576,433117,25,0.01
2590,1048451,414140,21852,5.28
2591,1048576,794410,91,0.01
2592,1048576,423273,6727,1.59
2593,1048576,710904,209,0.03
2594,1048576,413582,10874,2.63
2595,1048576,953020,0,0.0
2596,1048576,533663,54200,10.16
2597,1048576,1008030,185,0.02
2598,607371,566701,5471,0.97
2599,1048576,971548,81,0.01
2600,1048576,962521,0,0.0
2601,1048576,565393,274,0.05
2602,1048576,170430,2,0.0
2603,1048576,321832,95,0.03
2604,1048576,870567,1010,0.12
2605,1048576,239175,523,0.22
2606,1048576,68542,321,0.47
2607,1048576,192345,0,0.0
2608,1048576,737041,607736,82.46
2609,1048576,404960,110,0.03
2610,1048576,317796,269765,84.89
2611,1048576,1037785,0,0.0
2612,1048576,136447,16848,12.35
2613,1048576,385684,385057,99.84
2614,1048576,557338,557338,100.0
2615,726560,715653,0,0.0
2616,1046137,646328,17771,2.75
2617,486890,394457,0,0.0
2618,1048576,163379,10,0.01
2619,1048576,268679,610,0.23
2620,1048576,198537,89630,45.15
2621,666200,601888,3940,0.65
2622,1048576,1030077,0,0.0
2623,1048576,1032084,1727,0.17
2624,1048576,68311,1482,2.17
2625,1048576,845017,845017,100.0
2626,1048576,833071,2347,0.28
2627,1047915,546226,14339,2.63
2628,1048576,358278,5190,1.45
2629,1048576,144632,1693,1.17
2630,1048576,629095,629091,100.0
2631,1048576,715372,10072,1.41
2632,1048576,742775,83846,11.29
2633,1048576,384932,437,0.11
2634,1048576,444988,8,0.0
2635,1048576,861482,4669,0.54
2636,1048576,562826,26489,4.71
2637,1048576,1048090,0,0.0
2638,1048576,635552,67862,10.68
2639,1048576,635505,635505,100.0
2640,1048576,505966,406698,80.38
2641,873706,873211,0,0.0
2642,1048576,348255,269364,77.35
2643,1048576,842829,682065,80.93
2644,1048576,691710,10742,1.55
2645,1048576,955659,168002,17.58
2646,1048576,868271,48,0.01
2647,1048576,362934,53050,14.62
2648,1048576,175384,187,0.11
2649,1048576,883639,41669,4.72
2650,1048576,1026545,376,0.04
2651,1048576,876232,4479,0.51
2652,1048576,821117,13310,1.62
2653,1048576,444666,1446,0.33
2654,1048576,627590,6007,0.96
2655,1048576,30541,0,0.0
2656,1048576,1046087,0,0.0
2657,1048576,1005006,27676,2.75
2658,1048576,700245,239679,34.23
2659,1048576,560267,529130,94.44
2660,1048576,967735,953246,98.5
2661,1048576,459714,32,0.01
2662,1048576,588433,179,0.03
2663,1048576,543472,6653,1.22
2664,1048576,104205,19,0.02
2665,1048576,459096,19785,4.31
2666,1048576,1004254,822,0.08
2667,1048576,210278,210278,100.0
2668,1048576,864518,9291,1.07
2669,1048576,98133,27946,28.48
2670,1048576,103749,103749,100.0
2671,1048576,568712,561137,98.67
2672,1048576,259419,14,0.01
2673,1048576,505519,161964,32.04
2674,1048576,264041,42,0.02
2675,960326,868025,0,0.0
2676,1048576,532964,297,0.06
2677,1048576,492922,50567,10.26
2678,1048576,93301,0,0.0
2679,1048576,1028245,0,0.0
2680,1048576,449448,0,0.0
2681,1048576,652058,23,0.0
